Throughput: {} Gel/s 7.433404721770045
==32304== NVPROF is profiling process 32304, command: python C:\Documents\Programming\Python\MLPlayGround\large_softmax.py
==32304== Profiling application: python C:\Documents\Programming\Python\MLPlayGround\large_softmax.py
==32304== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream  Name
2.88623s  8.1962ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1393]
2.89444s  8.2136ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1402]
2.90265s  8.1829ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1411]
2.91084s  9.0605ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1420]
2.91990s  8.2075ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1429]
2.92812s  8.7246ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1438]
2.93684s  8.4010ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1447]
2.94525s  8.2290ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1456]
2.95348s  8.1798ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1465]
2.96167s  8.8167ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1474]
2.97049s  8.4082ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1483]
2.97890s  8.2064ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1492]
2.98711s  8.1870ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1501]
2.99530s  8.2023ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1510]
3.00351s  8.1737ms             (32 1 1)       (512 1 1)        39        0B  2.0000KB  NVIDIA GeForce          1         7  void at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__5636812a_10_SoftMax_cu_0af7be21::SoftMaxForwardEpilogue>(float*, float*, int) [1519]
